                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 0.8845,                0.43767,                0.84304,                 0.9667,                0.96939,                0.98667,                0.76451,                0.97907,                0.46004,                0.82618,              0.0017706,              0.0017706,              0.0017706
                    136,                0.88286,                0.43661,                0.84251,                0.97536,                0.96586,                0.98821,                0.76372,                0.98333,                0.45984,                0.82659,              0.0017087,              0.0017087,              0.0017087
                    137,                0.88745,                0.43854,                0.84281,                0.97314,                0.96854,                0.98873,                0.76502,                0.98641,                0.45919,                0.82675,              0.0016469,              0.0016469,              0.0016469
                    138,                0.88177,                0.43468,                0.84364,                0.97222,                0.96715,                0.98788,                 0.7658,                0.97839,                 0.4583,                0.82549,               0.001585,               0.001585,               0.001585
                    139,                0.88138,                0.43536,                0.84102,                0.97072,                0.96576,                0.98758,                0.76306,                0.98378,                0.45994,                0.82625,              0.0015231,              0.0015231,              0.0015231
                    140,                 0.8802,                0.43423,                 0.8405,                0.96701,                0.96994,                0.98777,                0.76508,                0.98791,                0.46068,                0.82626,              0.0014612,              0.0014612,              0.0014612
                    141,                0.87551,                 0.4306,                0.84248,                0.97312,                0.96572,                0.98819,                0.76662,                0.98014,                0.45698,                0.82534,              0.0013994,              0.0013994,              0.0013994
                    142,                0.87455,                0.42971,                0.84233,                0.97186,                0.96651,                0.98785,                0.76573,                0.98054,                0.45695,                0.82562,              0.0013375,              0.0013375,              0.0013375
                    143,                0.87616,                0.43435,                0.84283,                0.96846,                0.96762,                0.98837,                0.76773,                0.98429,                0.45766,                 0.8263,              0.0012756,              0.0012756,              0.0012756
                    144,                0.87188,                0.42662,                0.83958,                0.96994,                0.96938,                0.98802,                0.76694,                0.98349,                0.45769,                0.82631,              0.0012138,              0.0012138,              0.0012138
                    145,                0.86866,                0.42823,                0.84092,                0.97271,                0.97042,                0.98754,                0.76915,                0.98279,                0.45685,                0.82648,              0.0011519,              0.0011519,              0.0011519
                    146,                0.86823,                0.42715,                0.83963,                0.96685,                0.97098,                0.98758,                0.76833,                0.98445,                0.45832,                0.82646,                0.00109,                0.00109,                0.00109
                    147,                 0.8669,                0.42412,                0.83839,                0.96977,                0.96965,                0.98805,                0.76808,                0.98442,                 0.4577,                 0.8263,              0.0010281,              0.0010281,              0.0010281
                    148,                0.86138,                 0.4212,                0.83858,                0.97712,                0.96413,                0.98782,                0.76811,                0.98331,                0.45755,                0.82585,             0.00096625,             0.00096625,             0.00096625
                    149,                0.86917,                0.42323,                0.83831,                0.97527,                 0.9668,                0.98787,                 0.7669,                0.98377,                0.45786,                0.82607,             0.00090438,             0.00090438,             0.00090438
                    150,                0.86367,                0.42231,                0.83709,                0.97715,                0.96497,                0.98817,                0.76685,                0.98368,                0.45727,                0.82615,              0.0008425,              0.0008425,              0.0008425
                    151,                0.85878,                0.41989,                0.83802,                0.97381,                0.96802,                0.98787,                0.76658,                 0.9845,                0.45749,                0.82624,             0.00078062,             0.00078062,             0.00078062
                    152,                0.86441,                0.42103,                0.83948,                0.97975,                0.96271,                0.98795,                0.76868,                0.97905,                0.45537,                0.82565,             0.00071875,             0.00071875,             0.00071875
                    153,                0.85691,                0.41711,                0.83952,                0.97815,                0.96375,                0.98795,                 0.7701,                0.97777,                0.45511,                0.82539,             0.00065688,             0.00065688,             0.00065688
